timestamp,worker_id,session_id,prompt_code,temperature,frequency_penalty,num_query,num_selected,perc_selected,num_cursor,time,num_event,written_by_human
8/18/2021 13:59:16,A2ONILC0LZKG6Y,2043279d646845e9b3875b5d0a66d610,shapeshifter,0.75,1,11,8,73,36,19.17,3708,82
8/18/2021 14:21:20,A2WGW5Y3ZFBDEC,b185f407365540f2bc3e32d45bb3d154,pig,0.3,0,22,16,73,33,12.17,2242,68
8/18/2021 14:22:27,A2QX3YJXAAHHVV,66a790d09bc345608cb23e4bed92bd7a,sideeffect,0.3,0,24,14,58,63,16.08,1170,54
8/18/2021 14:30:56,A1PTH9KTRO06EG,d301787ad1c14454943032e70f5f46f0,bee,0.75,1,30,25,83,11,10.61,1696,53
8/18/2021 14:37:44,A2WGW5Y3ZFBDEC,ae3a87fc6c5e4c18897f71b93d670529,pig,0.3,0,22,16,73,19,11.42,1648,72
8/18/2021 1:02:16,A2WGW5Y3ZFBDEC,d2938c7114bb4f228ae7e3e801e2165b,dad,0.75,1,18,13,72,14,10.81,1585,53
8/18/2021 1:12:58,A1WKF2VH7TV0H2,a339f26845ca4af6841501de1929b6d7,sideeffect,0.75,1,2,2,100,3,6.95,760,87
8/18/2021 1:25:50,A1WKF2VH7TV0H2,05dd6e0c70cd41caacfcc3d44beca27b,mana,0.3,0,2,2,100,16,11.84,1054,84
8/18/2021 1:51:36,A2WGW5Y3ZFBDEC,ad4eeaa42cea40e7b278d61f1505ef7f,bee,0.75,1,13,12,92,4,10.22,1826,73
8/18/2021 1:53:00,A1QUQ0TV9KVD4C,ccbcf12b87b04596848a5091118c49d9,bee,0.3,0,18,14,78,0,10.21,1312,70
8/18/2021 23:22:03,A3O5RKGH6VB19C,12c0273868a84564a5f001c3c086f69f,pig,0.75,1,3,2,67,3,9.96,1748,96
8/18/2021 23:32:52,A3O5RKGH6VB19C,7b7b1b40027c4974ade1850596e6726f,bee,0.3,0,7,5,71,5,9.95,2329,82
8/18/2021 23:43:42,A3O5RKGH6VB19C,876a292223a74b1a8ad5525d93b26d69,obama,0.3,0,9,8,89,5,9.63,2062,73
8/18/2021 23:54:21,A3O5RKGH6VB19C,1da7eb35b68842dc9b5017abaf1359d4,dad,0.3,0,9,6,67,0,9.33,1660,80
8/18/2021 2:05:28,A1QUQ0TV9KVD4C,676557098dfe452d88e87d3a01b5100b,dad,0.3,0,18,11,61,1,10.35,1760,82
8/18/2021 2:12:55,A1WKF2VH7TV0H2,f8fd4fb1d3ae456a8a5dddefc9389aa3,bee,0.75,1,2,2,100,7,10.04,563,86
