worker_id,writing_type,prompt_code,Cluster
A3DUPRZSMU9W5R,argumentative,athletes,"2,0"
A3DUPRZSMU9W5R,argumentative,extremesports,"2,0"
A3DUPRZSMU9W5R,argumentative,news,"2,0"
A3DUPRZSMU9W5R,argumentative,pads,"2,0"
A3DUPRZSMU9W5R,argumentative,school,"2,0"
A3DUPRZSMU9W5R,argumentative,screen,"2,0"
A3DUPRZSMU9W5R,argumentative,stereotype,"2,0"
A3DUPRZSMU9W5R,creative,bee,"2,1"
A3DUPRZSMU9W5R,creative,dad,"2,1"
A3DUPRZSMU9W5R,creative,isolation,"2,1"
A3DUPRZSMU9W5R,creative,mana,"2,1"
A3DUPRZSMU9W5R,creative,mattdamon,"2,1"
A3DUPRZSMU9W5R,creative,pig,"2,1"
A3DUPRZSMU9W5R,creative,reincarnation,"2,1"
A3DUPRZSMU9W5R,creative,shapeshifter,"2,1"
A3DUPRZSMU9W5R,creative,sideeffect,"2,1"
A3MYPYBVHX7FQ2,argumentative,dating,"0,2"
A3MYPYBVHX7FQ2,argumentative,extremesports,"0,2"
A3MYPYBVHX7FQ2,argumentative,news,"0,2"
A3MYPYBVHX7FQ2,argumentative,pads,"0,2"
A3MYPYBVHX7FQ2,argumentative,school,"0,2"
A3MYPYBVHX7FQ2,argumentative,screen,"0,2"
A3MYPYBVHX7FQ2,argumentative,stereotype,"0,2"
A3MYPYBVHX7FQ2,creative,bee,"2,0"
A3MYPYBVHX7FQ2,creative,dad,"2,0"
A3MYPYBVHX7FQ2,creative,isolation,"2,0"
A3MYPYBVHX7FQ2,creative,mana,"2,0"
A3MYPYBVHX7FQ2,creative,mattdamon,"2,0"
A3MYPYBVHX7FQ2,creative,obama,"2,0"
A3MYPYBVHX7FQ2,creative,pig,"2,0"
A3MYPYBVHX7FQ2,creative,reincarnation,"2,0"
A3MYPYBVHX7FQ2,creative,shapeshifter,"2,0"
A3MYPYBVHX7FQ2,creative,sideeffect,"2,0"
A3O5RKGH6VB19C,argumentative,animal,2
A3O5RKGH6VB19C,argumentative,athletes,2
A3O5RKGH6VB19C,argumentative,audiobook,2
A3O5RKGH6VB19C,argumentative,dating,2
A3O5RKGH6VB19C,argumentative,extremesports,2
A3O5RKGH6VB19C,argumentative,news,2
A3O5RKGH6VB19C,argumentative,pads,2
A3O5RKGH6VB19C,argumentative,school,2
A3O5RKGH6VB19C,argumentative,screen,2
A3O5RKGH6VB19C,argumentative,stereotype,2
A3O5RKGH6VB19C,creative,bee,"2,1,0"
A3O5RKGH6VB19C,creative,dad,"2,1,0"
A3O5RKGH6VB19C,creative,isolation,"2,1,0"
A3O5RKGH6VB19C,creative,mana,"2,1,0"
A3O5RKGH6VB19C,creative,mattdamon,"2,1,0"
A3O5RKGH6VB19C,creative,obama,"2,1,0"
A3O5RKGH6VB19C,creative,pig,"2,1,0"
A3O5RKGH6VB19C,creative,reincarnation,"2,1,0"
A3O5RKGH6VB19C,creative,shapeshifter,"2,1,0"
A3O5RKGH6VB19C,creative,sideeffect,"2,1,0"
A3OLRWACCCCUTU,argumentative,audiobook,0
A3OLRWACCCCUTU,creative,dad,"2,0"
A3OLRWACCCCUTU,creative,isolation,"2,0"
A3OLRWACCCCUTU,creative,mana,"2,0"
A3OLRWACCCCUTU,creative,mattdamon,"2,0"
A3OLRWACCCCUTU,creative,obama,"2,0"
A3OLRWACCCCUTU,creative,pig,"2,0"
A3OLRWACCCCUTU,creative,reincarnation,"2,0"
A3OLRWACCCCUTU,creative,shapeshifter,"2,0"
A3P9TM5PRYBH90,argumentative,animal,0
A3P9TM5PRYBH90,argumentative,athletes,0
A3P9TM5PRYBH90,argumentative,audiobook,0
A3P9TM5PRYBH90,argumentative,news,0
A3P9TM5PRYBH90,argumentative,screen,0
A3P9TM5PRYBH90,creative,bee,"0,2"
A3P9TM5PRYBH90,creative,isolation,"0,2"
A3P9TM5PRYBH90,creative,mana,"0,2"
A3P9TM5PRYBH90,creative,obama,"0,2"
A3P9TM5PRYBH90,creative,pig,"0,2"
A3P9TM5PRYBH90,creative,reincarnation,"0,2"
A3P9TM5PRYBH90,creative,shapeshifter,"0,2"
A3P9TM5PRYBH90,creative,sideeffect,"0,2"
A3S67QA0SQVPUJ,argumentative,animal,"0,2"
A3S67QA0SQVPUJ,argumentative,athletes,"0,2"
A3S67QA0SQVPUJ,argumentative,audiobook,"0,2"
